restaurantID,visitDate,dayOfWeek,holiday,reservedVisitors,actualVisitors
air_326ca454ef3558bc,2016-01-02,Saturday,1,0,6
air_326ca454ef3558bc,2016-01-03,Sunday,1,4,65
air_326ca454ef3558bc,2016-01-04,Monday,0,0,91
air_326ca454ef3558bc,2016-01-07,Thursday,0,5,7
air_326ca454ef3558bc,2016-01-09,Saturday,0,20,70
air_326ca454ef3558bc,2016-01-10,Sunday,0,9,29
air_326ca454ef3558bc,2016-01-11,Monday,1,0,4
air_326ca454ef3558bc,2016-01-13,Wednesday,0,3,9
air_326ca454ef3558bc,2016-01-14,Thursday,0,4,15
air_326ca454ef3558bc,2016-01-15,Friday,0,5,22
air_326ca454ef3558bc,2016-01-16,Saturday,0,45,53
air_326ca454ef3558bc,2016-01-17,Sunday,0,7,30
air_326ca454ef3558bc,2016-01-18,Monday,0,13,22
air_326ca454ef3558bc,2016-01-20,Wednesday,0,3,36
air_326ca454ef3558bc,2016-01-21,Thursday,0,15,23
air_326ca454ef3558bc,2016-01-22,Friday,0,7,17
air_326ca454ef3558bc,2016-01-24,Sunday,0,18,109
air_326ca454ef3558bc,2016-01-25,Monday,0,3,10
air_326ca454ef3558bc,2016-01-26,Tuesday,0,42,42
air_326ca454ef3558bc,2016-01-29,Friday,0,27,51
air_326ca454ef3558bc,2016-01-30,Saturday,0,31,53
air_326ca454ef3558bc,2016-01-31,Sunday,0,5,35
air_326ca454ef3558bc,2016-02-01,Monday,0,14,22
air_326ca454ef3558bc,2016-02-02,Tuesday,0,2,11
air_326ca454ef3558bc,2016-02-03,Wednesday,0,3,7
air_326ca454ef3558bc,2016-02-04,Thursday,0,6,9
air_326ca454ef3558bc,2016-02-05,Friday,0,7,17
air_326ca454ef3558bc,2016-02-06,Saturday,0,17,54
air_326ca454ef3558bc,2016-02-07,Sunday,0,11,20
air_326ca454ef3558bc,2016-02-08,Monday,0,18,26
air_326ca454ef3558bc,2016-02-09,Tuesday,0,5,3
air_326ca454ef3558bc,2016-02-10,Wednesday,0,15,28
air_326ca454ef3558bc,2016-02-11,Thursday,1,18,35
air_326ca454ef3558bc,2016-02-12,Friday,0,18,26
air_326ca454ef3558bc,2016-02-13,Saturday,0,22,31
air_326ca454ef3558bc,2016-02-15,Monday,0,5,14
air_326ca454ef3558bc,2016-02-16,Tuesday,0,23,8
air_326ca454ef3558bc,2016-02-17,Wednesday,0,38,64
air_326ca454ef3558bc,2016-02-18,Thursday,0,2,5
air_326ca454ef3558bc,2016-02-19,Friday,0,35,48
air_326ca454ef3558bc,2016-02-20,Saturday,0,35,39
air_326ca454ef3558bc,2016-02-21,Sunday,0,35,44
air_326ca454ef3558bc,2016-02-22,Monday,0,9,22
air_326ca454ef3558bc,2016-02-23,Tuesday,0,4,16
air_326ca454ef3558bc,2016-02-24,Wednesday,0,33,53
air_326ca454ef3558bc,2016-02-25,Thursday,0,6,21
air_326ca454ef3558bc,2016-02-26,Friday,0,25,44
air_326ca454ef3558bc,2016-02-27,Saturday,0,49,72
air_326ca454ef3558bc,2016-02-28,Sunday,0,12,39
air_326ca454ef3558bc,2016-02-29,Monday,0,4,6
air_326ca454ef3558bc,2016-03-01,Tuesday,0,4,9
air_326ca454ef3558bc,2016-03-02,Wednesday,0,4,15
air_326ca454ef3558bc,2016-03-03,Thursday,0,8,8
air_326ca454ef3558bc,2016-03-04,Friday,0,27,42
air_326ca454ef3558bc,2016-03-05,Saturday,0,34,47
air_326ca454ef3558bc,2016-03-06,Sunday,0,37,55
air_326ca454ef3558bc,2016-03-07,Monday,0,13,20
air_326ca454ef3558bc,2016-03-08,Tuesday,0,0,17
air_326ca454ef3558bc,2016-03-09,Wednesday,0,0,2
air_326ca454ef3558bc,2016-03-10,Thursday,0,10,20
air_326ca454ef3558bc,2016-03-11,Friday,0,50,50
air_326ca454ef3558bc,2016-03-12,Saturday,0,28,57
air_326ca454ef3558bc,2016-03-13,Sunday,0,60,61
air_326ca454ef3558bc,2016-03-14,Monday,0,45,49
air_326ca454ef3558bc,2016-03-15,Tuesday,0,7,23
air_326ca454ef3558bc,2016-03-16,Wednesday,0,11,15
air_326ca454ef3558bc,2016-03-17,Thursday,0,25,31
air_326ca454ef3558bc,2016-03-18,Friday,0,30,51
air_326ca454ef3558bc,2016-03-19,Saturday,0,38,48
air_326ca454ef3558bc,2016-03-20,Sunday,1,79,83
air_326ca454ef3558bc,2016-03-21,Monday,1,20,37
air_326ca454ef3558bc,2016-03-22,Tuesday,0,20,31
air_326ca454ef3558bc,2016-03-23,Wednesday,0,34,44
air_326ca454ef3558bc,2016-03-24,Thursday,0,10,22
air_326ca454ef3558bc,2016-03-25,Friday,0,67,69
air_326ca454ef3558bc,2016-03-26,Saturday,0,65,75
